Артикул;ID KIT;Найден у поставщика;Москва;Владивосток;Фото;Характеристики
00087083;304592;да;3;0;1;25
00163119;304591;нет;0;0;1;0
00165607;304590;нет;0;0;1;0
00096363;304589;да;0;1;1;22
00097597;304588;да;9;0;1;24
00097776;304587;да;54;0;1;25
00098024;304586;нет;0;0;1;0
00099397;304585;да;12;0;1;24
00099495;304584;да;0;51;1;23
00099759;304583;да;21;0;1;23
00099992;304582;нет;0;0;1;0
11286680;304581;да;0;2;1;20
11286684;304580;да;6;5;1;21
11286685;304579;да;9;8;1;22
11286687;304578;да;5;8;1;22
11286688;304577;да;8;6;1;22
11286689;304576;нет;0;0;1;0
11286691;304575;нет;0;0;1;0
11286692;304574;да;2;3;1;21
11286694;304573;да;0;14;1;22
11286696;304572;да;4;0;1;23
11286697;304571;да;3;0;1;22
11286698;304570;да;20;14;1;24
11286699;304569;да;6;7;1;22
11286700;304568;нет;0;0;1;0
11286701;304567;да;66;42;1;22
11286702;304566;нет;0;0;1;0
11286703;304565;да;1;0;1;20
11286705;304564;да;1;0;1;21
11286707;304563;да;3;2;1;23
11286708;304562;нет;0;0;1;0
11286710;304561;да;0;4;1;21
11286711;304560;да;5;4;1;22
11286713;304559;да;0;6;1;24
00175039;304558;нет;0;0;1;0
00175127;304557;нет;0;0;1;0
00175140;304556;нет;0;0;1;0
00175195;304555;нет;0;0;1;0
00175207;304554;да;12;15;1;22
00175225;304553;нет;0;0;1;0
00175227;304552;да;25;2;1;22
00181740;304551;нет;0;0;1;0
00181754;304550;нет;0;0;1;0
00181773;304549;нет;0;0;1;0
00188472;304548;нет;0;0;1;0
11561980;304547;да;0;1;1;19
11614855;304546;да;5;3;1;25
11614856;304545;нет;0;0;1;0
11614857;304544;нет;0;0;1;0
11614858;304543;нет;0;0;1;0
11614859;304542;нет;0;0;1;0
11614860;304541;да;3;0;1;25
11614861;304540;да;8;2;1;25
11614862;304539;да;8;2;1;25
11614863;304538;нет;0;0;1;0
11614864;304537;нет;0;0;1;0
11614865;304536;да;1;0;1;24
11614866;304535;да;1;6;1;24
11614867;304534;нет;0;0;1;0
11614868;304533;нет;0;0;1;0
11614869;304532;нет;0;0;1;0
11614870;304531;нет;0;0;1;0
11614871;304530;нет;0;0;1;0
11614872;304529;да;11;0;1;25
11614873;304528;нет;0;0;1;0
00199628;304527;да;2;0;1;23
00202012;304526;нет;0;0;0;0
00103017;304525;да;0;3;1;20
11286814;304524;нет;0;0;1;0
11286818;304523;нет;0;0;1;0
00179744;304522;нет;0;0;1;0
00179746;304521;да;1;0;1;20
00179750;304520;нет;0;0;1;0
00179763;304519;да;2;0;1;20
00179764;304518;да;4;4;1;20
00179797;304517;нет;0;0;1;0
00179798;304516;да;2;3;1;20
00181721;304515;да;2;9;1;20
00103610;304514;да;4;1;1;22
00103973;304513;нет;0;0;1;0
11286783;304512;нет;0;0;1;0
11286784;304511;да;35;15;1;24
11286785;304510;да;5;9;1;24
11286786;304509;да;11;13;1;24
11286788;304508;да;8;17;1;21
11286789;304507;да;18;15;1;24
11286833;304506;да;4;1;1;22
11286834;304505;нет;0;0;1;0
11286835;304504;да;4;7;1;24
11286836;304503;да;3;8;1;23
11286837;304502;да;1;0;1;21
11286838;304501;нет;0;0;1;0
11286839;304500;да;0;2;1;23
00175043;304499;да;1;0;1;22
00175146;304498;да;3;0;1;22
00175152;304497;нет;0;0;1;0
00175175;304496;да;3;2;1;22
00175186;304495;да;0;9;1;22
00175188;304494;да;15;9;1;22
00175191;304493;да;0;3;1;22
00175194;304492;да;13;18;1;22
00175197;304491;да;0;1;1;22
00175198;304490;да;2;0;1;22
00175202;304489;да;8;10;1;22
00175220;304488;да;0;5;1;22
00179749;304487;нет;0;0;1;0
11614845;304486;нет;0;0;1;0
11614846;304485;нет;0;0;1;0
11614847;304484;нет;0;0;1;0
11614848;304483;нет;0;0;1;0
11614849;304482;нет;0;0;1;0
11614850;304481;нет;0;0;1;0
11614851;304480;нет;0;0;1;0
11614852;304479;да;2;1;1;25
11614853;304478;нет;0;0;1;0
00087087;304477;да;2;2;1;28
00087089;304476;да;0;2;1;27
00087093;304475;да;0;4;1;26
00093854;304474;да;4;4;1;24
00110250;304473;да;0;5;1;28
00124577;304472;да;4;6;1;24
11286796;304471;да;0;2;1;21
00175129;304470;да;2;0;1;20
00175134;304469;нет;0;0;1;0
00175139;304468;да;0;3;1;20
00175141;304467;да;2;3;1;20
00175142;304466;нет;0;0;1;0
00175212;304465;нет;0;0;1;0
00199627;304464;да;5;0;1;23
00199629;304463;да;10;4;1;22
00199630;304462;да;4;4;1;22
00199631;304461;да;1;3;1;22
00073412;304460;да;1;0;1;12
00026437;304459;да;1;2;1;12
00199387;304458;да;4;3;1;13
00199388;304457;да;5;3;1;13
00199389;304456;да;1;0;1;13
00199390;304455;нет;0;0;1;0
00199391;304454;да;1;2;1;13
00199392;304453;да;2;2;1;13
00022169;304452;да;1;0;1;25
00120633;304451;нет;0;0;1;0
00066343;304450;да;5;3;1;23
00089813;304449;да;3;2;1;24
00089814;304448;нет;0;0;1;0
00182882;304447;да;6;4;1;5
00182883;304446;да;9;7;1;22
00182884;304445;да;13;3;1;23
00182885;304444;да;10;2;1;23
00182886;304443;да;22;6;1;23
11542424;304442;нет;0;0;1;0
11542426;304441;да;1;1;1;17
11542427;304440;да;5;0;1;16
00194099;304439;да;3;0;1;19
00196294;304438;нет;0;0;1;0
00127880;304437;да;18;13;1;5
00141771;304436;да;2;1;1;9
00141773;304435;да;2;3;1;9
00141774;304434;да;14;7;1;9
00142126;304433;да;1;1;1;6
00149621;304432;да;3;1;1;6
00195337;304431;да;2;1;1;3
00056264;304430;да;32;41;1;15
00072658;304429;да;27;21;1;14
00072662;304428;да;4;4;1;15
00026306;304427;нет;0;0;1;0
00026307;304426;да;1;0;1;15
00080001;304425;да;48;32;1;12
00110491;304424;да;19;5;1;14
00110495;304423;да;17;16;1;14
00110502;304422;да;11;10;1;15
00110503;304421;да;7;3;1;15
00110504;304420;да;8;5;1;15
00110509;304419;да;1;0;1;13
00120191;304418;да;4;2;1;13
00120192;304417;да;29;32;1;12
00139908;304416;да;1;3;1;7
00148123;304415;нет;0;0;1;0
00169562;304414;нет;0;0;1;0
00173436;304413;да;33;31;1;12
00173437;304412;да;0;6;1;12
00173440;304411;да;6;3;1;11
00173457;304410;да;2;0;1;12
00173459;304409;нет;0;0;1;0
00173460;304408;да;9;1;1;11
00175896;304407;да;4;5;1;11
00177143;304406;да;3;0;1;6
00178268;304405;нет;0;0;1;0
00178269;304404;да;5;1;1;11
00178271;304403;нет;0;0;1;0
00178276;304402;да;9;0;1;11
00178278;304401;да;2;0;1;12
00178280;304400;да;8;2;1;11
00178281;304399;да;9;10;1;11
00178347;304398;да;4;8;1;12
00178348;304397;да;26;40;1;12
00178349;304396;да;1;3;1;12
00178350;304395;да;7;10;1;12
00178351;304394;да;11;2;1;11
00178352;304393;да;39;15;1;11
00178353;304392;да;70;75;1;11
00179221;304391;да;1;2;1;5
00179222;304390;нет;0;0;1;0
00180773;304389;нет;0;0;1;0
00182573;304388;нет;0;0;1;0
00182904;304387;да;8;8;1;7
00183284;304386;да;1;0;1;12
00183291;304385;нет;0;0;1;0
00183293;304384;да;1;0;1;12
00185920;304383;да;10;0;1;6
00192242;304382;нет;0;0;1;0
00193104;304381;да;0;10;1;12
00195271;304380;да;2;1;1;5
00198008;304379;нет;0;0;1;0
00157375;304378;нет;0;0;1;0
00161551;304377;нет;0;0;1;0
00171715;304376;да;1;0;1;18
00183401;304375;да;0;5;1;11
00183402;304374;да;29;12;1;11
00183403;304373;да;0;40;1;11
00183404;304372;да;13;11;1;11
00183405;304371;да;29;20;1;11
00183406;304370;да;11;11;1;11
00183407;304369;да;9;14;1;11
00183408;304368;да;10;8;1;11
00183409;304367;да;2;19;1;11
00183410;304366;да;9;9;1;11
00183411;304365;да;6;5;1;11
00183412;304364;да;5;12;1;11
00183413;304363;да;3;8;1;11
00183414;304362;да;11;10;1;11
00183415;304361;да;1;8;1;11
00183416;304360;да;0;3;1;11
00183417;304359;да;5;10;1;11
00183418;304358;да;3;14;1;11
00183419;304357;да;9;18;1;11
00183420;304356;да;13;11;1;11
00188002;304355;да;5;0;1;12
00188003;304354;да;8;0;1;12
00188004;304353;да;1;0;1;12
00188005;304352;да;0;3;1;11
00188203;304351;да;0;1;1;11
00188207;304350;да;7;7;1;11
00190370;304349;да;0;6;1;11
00003663;304348;да;3;2;1;16
00003664;304347;да;3;0;1;15
00002283;304346;да;8;0;1;15
00004406;304345;да;0;53;1;20
27877;304344;да;122;92;1;21
00047555;304343;да;1;0;1;18
00061681;304342;нет;0;0;1;0
00073886;304341;да;0;140;1;21
00023748;304340;нет;0;0;1;0
00081968;304339;нет;0;0;1;0
00087693;304338;да;2;0;1;23
00087702;304337;да;6;0;1;23
00087703;304336;да;5;7;1;23
00087729;304335;нет;0;0;1;0
00120291;304334;да;4;0;1;23
00120434;304333;да;3;17;1;19
00159727;304332;да;15;37;1;21
00175859;304331;да;26;7;1;18
00175860;304330;нет;0;0;1;0
00175861;304329;да;0;1;1;17
00182114;304328;да;12;1;1;19
00187680;304327;да;8;4;1;18
00196006;304326;да;0;5;1;22
00196009;304325;нет;0;0;1;0
00199999;304324;нет;0;0;1;0
00200000;304323;нет;0;0;1;0
00016490;304322;да;0;10;1;8
00018175;304321;да;121;179;1;9
00018185;304320;да;113;105;1;10
00041460;304319;да;81;179;1;10
00090108;304318;да;60;38;1;10
00110723;304317;да;230;200;1;11
00110747;304316;да;7;0;1;10
00110751;304315;нет;0;0;1;0
00156746;304314;да;5;5;1;8
00201168;304313;нет;0;0;1;0
00201170;304312;нет;0;0;1;0
00201172;304311;нет;0;0;1;0
00201173;304310;нет;0;0;1;0
00201176;304309;нет;0;0;1;0
00201180;304308;нет;0;0;1;0
00201181;304307;нет;0;0;1;0
00000045;304306;нет;0;0;1;0
00002760;304305;нет;0;0;1;0
27108;304304;да;101;0;1;8
27879;304303;да;92;93;1;12
29538;304302;да;76;0;1;11
00026340;304301;да;13;0;1;8
00099987;304300;да;5;0;1;9
00110754;304299;нет;0;0;1;0
00125428;304298;нет;0;0;1;0
00135190;304297;да;99;294;1;9
00138461;304296;да;295;226;1;10
00158734;304295;да;17;30;1;9
00158736;304294;да;0;48;1;9
00160093;304293;да;148;97;1;9
00160952;304292;да;2;1;1;9
00176415;304291;да;8;0;1;8
00176419;304290;да;17;0;1;8
00176420;304289;да;102;0;1;6
00176961;304288;да;4;0;1;8
00179529;304287;да;23;0;1;8
00181565;304286;да;16;25;1;9
00181567;304285;да;4;0;1;8
00182739;304284;нет;0;0;1;0
00185148;304283;нет;0;0;1;0
00190807;304282;да;0;9;1;6
11535239;304281;да;2;3;1;9
11537239;304280;нет;0;0;1;0
11537324;304279;нет;0;0;1;0
00192594;304278;да;15;0;1;7
00193263;304277;нет;0;0;1;0
00196636;304276;нет;0;0;1;0
00196639;304275;нет;0;0;1;0
00197212;304274;да;43;0;1;5
00116232;304273;нет;0;0;1;0
00116233;304272;да;2;2;1;20
00116240;304271;да;0;1;1;19
00116242;304270;да;2;0;1;19
00116248;304269;да;2;1;1;20
00116249;304268;да;1;3;1;20
00176297;304267;нет;0;0;1;0
00185518;304266;да;1;0;1;8
00185519;304265;да;1;0;1;8
00185520;304264;да;2;0;1;8
00185521;304263;да;2;0;1;8
11022905;304262;нет;0;0;1;0
11083391;304261;да;0;1;0;0
00178202;304260;да;0;8;1;11
00187282;304259;да;2;0;1;5
00197314;304258;да;1;1;1;19
00197315;304257;да;22;26;1;17
00178204;304256;да;14;1;1;15
00182365;304255;да;3;0;1;15
00189555;304254;да;18;9;1;15
11550343;304253;да;5;2;1;15
00197837;304252;да;9;0;1;21
00197838;304251;да;143;72;1;14
00197841;304250;да;6;0;1;17
00197842;304249;да;26;21;1;16
00197897;304248;да;8;10;1;13
00200937;304247;да;8;9;1;16
00200938;304246;да;12;13;1;15
29520;304245;да;30;13;1;21
00030303;304244;да;7;16;1;18
00017393;304243;нет;0;0;1;0
00017406;304242;нет;0;0;1;0
00017408;304241;нет;0;0;1;0
00110724;304240;нет;0;0;1;0
00110726;304239;да;15;2;1;21
00110727;304238;да;24;5;1;21
00117712;304237;нет;0;0;1;0
00117721;304236;нет;0;0;1;0
00117722;304235;да;3;3;1;22
00117724;304234;да;1;2;1;23
00117728;304233;нет;0;0;1;0
00117729;304232;нет;0;0;1;0
00178302;304231;нет;0;0;1;0
00178303;304230;да;40;90;1;18
00178305;304229;да;21;2;1;15
00178306;304228;да;24;10;1;17
00178307;304227;да;6;2;1;14
00178308;304226;да;23;2;1;17
00178309;304225;да;10;0;1;17
00182115;304224;да;45;35;1;16
00182116;304223;нет;0;0;1;0
00182117;304222;да;10;15;1;16
00182118;304221;да;10;15;1;15
00182380;304220;да;7;4;1;17
00182381;304219;да;10;4;1;17
00182383;304218;да;1;0;1;17
00182384;304217;да;9;4;1;19
00182385;304216;да;3;0;1;20
00182386;304215;да;16;2;1;20
00182387;304214;да;6;4;1;18
00182391;304213;нет;0;0;1;0
00182393;304212;да;15;1;1;18
00189890;304211;нет;0;0;1;0
00198406;304210;да;4;0;1;12
00198407;304209;да;0;2;1;9
00198409;304208;да;13;0;1;13
00200573;304207;да;17;9;1;16
00200574;304206;да;15;9;1;17
00200575;304205;да;15;8;1;18
00200576;304204;да;18;9;1;18
00002410;304203;да;73;54;1;20
00120430;304202;да;2;0;1;23
00176257;304201;да;1;1;1;16
00177130;304200;да;11;6;1;16
00178238;304199;да;1;0;1;27
00178325;304198;нет;0;0;1;0
00178327;304197;да;1;1;1;17
00178329;304196;да;1;1;1;18
00193687;304195;нет;0;0;1;0
00195726;304194;да;5;2;1;17
00195727;304193;да;2;0;1;15
00195728;304192;нет;0;0;1;0
00195729;304191;нет;0;0;1;0
00195730;304190;нет;0;0;1;0
00196255;304189;да;2;0;1;15
00196256;304188;да;2;2;1;15
00196257;304187;да;1;2;1;15
00196258;304186;да;5;3;1;15
00197047;304185;да;4;3;1;21
00197048;304184;да;4;4;1;21
00197664;304183;да;5;2;1;17
00197666;304182;нет;0;0;1;0
00201777;304181;да;6;2;1;21
00003737;304180;да;34;27;1;13
00002395;304179;да;3;0;1;14
00002416;304178;да;77;51;1;15
00006547;304177;да;43;35;1;13
00117141;304176;да;40;42;1;11
00117859;304175;да;136;146;1;10
00117860;304174;да;68;12;1;10
00175865;304173;да;33;17;1;10
00177134;304172;да;5;3;1;14
00177135;304171;да;0;8;1;12
00178360;304170;нет;0;0;1;0
00178361;304169;нет;0;0;1;0
00178362;304168;да;19;7;1;13
00180916;304167;да;9;4;1;18
00180917;304166;нет;0;0;1;0
00181399;304165;да;1;1;1;15
00181401;304164;да;8;0;1;16
00183657;304163;да;556;124;1;9
00183660;304162;да;15;0;1;12
00183661;304161;да;34;16;1;10
00183662;304160;да;1;1;1;8
00197171;304159;нет;0;0;1;0
00198375;304158;да;93;43;1;5
00055597;304157;да;18;0;1;12
00091772;304156;да;19;8;1;17
00091778;304155;да;4;0;1;16
00091799;304154;да;41;31;1;16
00091819;304153;нет;0;0;1;0
00091846;304152;да;17;43;1;13
00091848;304151;да;35;18;1;15
00100926;304150;да;2;0;1;17
00100930;304149;да;0;1;1;15
00100954;304148;да;8;0;1;16
00129303;304147;да;4;0;1;12
00150267;304146;да;24;0;1;12
00150268;304145;да;63;69;1;14
00160522;304144;да;10;0;1;7
00160523;304143;да;47;4;1;8
00166723;304142;да;13;0;1;11
00177041;304141;да;2;1;1;5
00177043;304140;нет;0;0;1;0
00178312;304139;нет;0;0;1;0
00178314;304138;да;19;15;1;13
00178315;304137;да;19;11;1;15
00178316;304136;да;20;34;1;14
00178317;304135;да;13;14;1;14
00178334;304134;да;7;10;1;12
00178335;304133;да;10;10;1;12
00178341;304132;да;0;10;1;12
00178342;304131;да;10;1;1;10
00178343;304130;да;28;12;1;11
00182816;304129;да;22;3;1;6
00182824;304128;да;1;0;1;9
00185710;304127;да;7;3;1;14
00185712;304126;да;0;3;1;13
00185715;304125;нет;0;0;1;0
00197873;304124;да;3;10;1;11
00197891;304123;нет;0;0;1;0
00198666;304122;да;12;13;1;6
00006238;304121;да;20;0;1;10
00006239;304120;нет;0;0;1;0
00199685;304119;да;24;10;1;6
25246;304118;нет;0;0;1;0
25250;304117;нет;0;0;1;0
00066109;304116;нет;0;0;1;0
00066113;304115;да;2;0;1;6
00066115;304114;да;2;1;1;6
00066121;304113;нет;0;0;1;0
00066127;304112;нет;0;0;1;0
00117554;304111;да;12;3;1;4
00005179;304110;нет;0;0;1;0
00127848;304109;да;2;0;1;11
00073469;304108;да;19;31;1;7
00002196;304107;да;0;60;1;19
00055786;304106;да;60;0;1;19
00102766;304105;нет;0;0;1;0
00102768;304104;да;1;0;1;18
00102769;304103;да;4;0;1;18
00102770;304102;да;4;0;1;18
00102776;304101;нет;0;0;1;0
00102777;304100;нет;0;0;1;0
00102783;304099;да;5;2;1;18
00102784;304098;да;4;0;1;18
00102786;304097;да;2;0;1;18
00102793;304096;нет;0;0;1;0
00102800;304095;да;4;1;1;17
00102801;304094;да;8;0;1;17
00102808;304093;нет;0;0;1;0
00102829;304092;да;0;1;1;17
00102852;304091;нет;0;0;1;0
00102854;304090;да;2;0;1;17
00102874;304089;да;1;0;1;17
00090527;304088;нет;0;0;1;0
00090750;304087;да;1;1;1;18
00090752;304086;да;2;0;1;18
00102883;304085;да;1;0;1;19
00102885;304084;да;2;0;1;19
00102888;304083;да;4;2;1;19
00130487;304082;да;0;60;1;17
00130488;304081;да;5;1;1;17
00151365;304080;да;2;0;1;17
00153677;304079;да;20;3;1;17
00161778;304078;да;2;0;1;16
00161780;304077;да;3;0;1;17
00161783;304076;да;0;1;1;17
00175479;304075;нет;0;0;1;0
00175482;304074;нет;0;0;1;0
00175484;304073;нет;0;0;1;0
00176670;304072;да;4;1;1;16
00176671;304071;да;5;0;1;16
00184220;304070;да;42;0;1;18
00184222;304069;да;14;0;1;17
00184223;304068;нет;0;0;1;0
00184226;304067;да;3;0;1;17
00184227;304066;да;9;0;1;18
00184228;304065;да;1;0;1;18
00184229;304064;да;3;0;1;18
00184231;304063;да;1;0;1;18
00184232;304062;нет;0;0;1;0
00193733;304061;да;34;16;1;15
00193735;304060;да;0;14;1;15
00193736;304059;да;0;15;1;15
00193737;304058;да;0;23;1;15
00193739;304057;да;0;8;1;15
00193743;304056;да;2;6;1;15
00193745;304055;нет;0;0;1;0
00199739;304054;нет;0;0;1;0
00056461;304053;нет;0;0;1;0
00117160;304052;да;6;13;1;15
00182978;304051;да;1;1;1;6
00191840;304050;нет;0;0;1;0
11550272;304049;да;1;1;1;6
00193320;304048;да;1;0;1;7
00173997;304047;да;1;2;1;11
00191839;304046;да;13;0;1;10
00195878;304045;да;6;1;1;8
11660912;304044;нет;0;0;1;0
28079;304043;да;40;100;1;11
00018116;304042;да;158;508;1;12
11378889;304041;да;66;0;1;9
00182741;304040;да;147;110;1;8
00193765;304039;да;142;91;1;5
00195826;304038;да;11;7;1;6
00196895;304037;да;15;6;1;5
00142053;304036;да;6;10;1;7
00196782;304035;да;1;1;1;6
00196788;304034;нет;0;0;1;0
00196789;304033;да;3;2;1;6
00196790;304032;да;1;1;1;3
00196791;304031;да;2;2;1;3
00196804;304030;да;4;0;1;6
00152452;304029;нет;0;0;1;0
00165469;304028;нет;0;0;1;0
00184890;304027;да;1;0;1;7
00184891;304026;нет;0;0;1;0
00184892;304025;да;0;1;1;7
00193771;304024;да;0;3;1;11
00194171;304023;да;0;2;1;8
00196784;304022;да;8;1;1;9
00196787;304021;да;0;1;1;8
00157838;304020;да;0;1;1;20
00157844;304019;да;2;0;1;22
00007788;304018;да;6;4;1;7
11029538;304017;да;0;5;1;7
00157902;304016;да;3;0;1;8
00157904;304015;да;1;0;1;7
00157905;304014;да;1;0;1;7
00157907;304013;нет;0;0;1;0
00157908;304012;нет;0;0;1;0
00157910;304011;да;2;4;1;7
00157911;304010;да;4;5;1;7
00160713;304009;нет;0;0;1;0
00162078;304008;да;1;0;1;8
00163116;304007;да;1;1;1;7
00163117;304006;да;1;1;1;7
11326745;304005;да;1;1;1;6
00175262;304004;нет;0;0;1;0
00175264;304003;да;1;0;1;5
00175265;304002;нет;0;0;1;0
00175268;304001;нет;0;0;1;0
00175269;304000;нет;0;0;1;0
00175272;303999;да;4;0;1;5
00175277;303998;нет;0;0;1;0
00175278;303997;да;1;0;1;5
00175281;303996;да;1;0;1;5
11402059;303995;да;0;3;1;6
11452117;303994;да;1;1;1;4
11614883;303993;да;21;0;1;6
11614884;303992;да;5;0;1;9
00062069;303991;нет;0;0;1;0
00062070;303990;да;4;0;1;16
00062107;303989;да;1;0;1;16
00074702;303988;нет;0;0;1;0
26297;303987;да;98;249;1;16
26298;303986;да;78;105;1;16
00018187;303985;да;454;282;1;16
00051175;303984;да;379;345;1;16
00051276;303983;да;18;174;1;16
00132994;303982;да;116;174;1;15
00004405;303981;да;40;43;1;15
00056423;303980;да;8;72;1;15
00170625;303979;нет;0;0;1;0
00174145;303978;нет;0;0;1;0
00191003;303977;да;16;11;1;13
00184797;303976;да;8;4;1;10
00184803;303975;да;99;50;1;10
00004471;303974;нет;0;0;1;0
00052633;303973;нет;0;0;1;0
